name	file	line	module	kind	refs	cross_refs	self_refs	hit_files
dc:rnd	DiffCheck/DiffCheck.lsp	32	DiffCheck	library	17	0	17	1
dc:pr	DiffCheck/DiffCheck.lsp	33	DiffCheck	library	13	0	13	1
dc:padd	DiffCheck/DiffCheck.lsp	34	DiffCheck	library	2	0	2	1
dc:psub	DiffCheck/DiffCheck.lsp	35	DiffCheck	library	13	0	13	1
dc:f	DiffCheck/DiffCheck.lsp	36	DiffCheck	library	14	0	14	1
dc:pf	DiffCheck/DiffCheck.lsp	37	DiffCheck	library	13	0	13	1
dc:take	DiffCheck/DiffCheck.lsp	39	DiffCheck	library	2	0	2	1
dc:get-bbox	DiffCheck/DiffCheck.lsp	45	DiffCheck	library	5	0	5	1
dc:sig-line	DiffCheck/DiffCheck.lsp	55	DiffCheck	library	1	0	1	1
dc:sig-circle	DiffCheck/DiffCheck.lsp	61	DiffCheck	library	1	0	1	1
dc:sig-arc	DiffCheck/DiffCheck.lsp	64	DiffCheck	library	1	0	1	1
dc:sig-lwpoly	DiffCheck/DiffCheck.lsp	67	DiffCheck	library	1	0	1	1
dc:sig-text	DiffCheck/DiffCheck.lsp	79	DiffCheck	library	2	0	2	1
dc:sig-insert	DiffCheck/DiffCheck.lsp	82	DiffCheck	library	1	0	1	1
dc:sig-dim	DiffCheck/DiffCheck.lsp	102	DiffCheck	library	1	0	1	1
dc:sig-hatch	DiffCheck/DiffCheck.lsp	105	DiffCheck	library	1	0	1	1
dc:sig-solid	DiffCheck/DiffCheck.lsp	116	DiffCheck	library	1	0	1	1
dc:mksig	DiffCheck/DiffCheck.lsp	119	DiffCheck	library	2	0	2	1
dc:box-expand	DiffCheck/DiffCheck.lsp	134	DiffCheck	library	1	0	1	1
dc:box-intersect-p	DiffCheck/DiffCheck.lsp	137	DiffCheck	library	1	0	1	1
dc:merge-boxes	DiffCheck/DiffCheck.lsp	140	DiffCheck	library	1	0	1	1
